date,daily_total_pnl,daily_avg_pnl,daily_median_pnl,daily_win_rate,daily_trade_count,daily_avg_leverage,sentiment_score,long_short_ratio,sentiment_label
2023-12-14,-205.43473700000007,-34.23912283333335,22.872075,0.6666666666666666,6,1.0,4.0,0.5,Greed
2023-12-15,-24.632033999999997,-12.316016999999999,-12.316016999999999,0.0,2,1.0,4.0,,Greed
2023-12-17,304.982785,27.725707727272724,0.6,0.6363636363636364,11,1.0,4.0,0.0,Greed
2023-12-19,1000.5386120000001,100.0538612,23.210407,1.0,10,1.0,4.0,0.0,Greed
2023-12-20,162.732282,20.34153525,5.350747,1.0,8,1.0,4.0,0.0,Greed
2023-12-21,537.211402,19.896718592592592,11.395824,0.9629629629629629,27,1.0,4.0,0.0,Greed
2023-12-22,141.832675,70.9163375,70.9163375,1.0,2,1.0,4.0,0.0,Greed
2023-12-23,146.936704,18.367088,22.501094000000002,1.0,8,1.0,4.0,0.0,Greed
2023-12-24,1008.619956,59.330585647058825,14.762976,0.8823529411764706,17,1.0,4.0,0.21428571428571427,Greed
2023-12-25,-245.081348,-245.081348,-245.081348,0.0,1,1.0,4.0,0.0,Greed
2023-12-27,-704.8892269999999,-54.222248230769225,-62.398208,0.3076923076923077,13,1.0,4.0,0.0,Greed
2023-12-28,-970.730876,-74.67160584615384,-60.768408,0.0,13,1.0,4.0,0.0,Greed
2023-12-29,508.92214299999995,25.446107149999996,7.804460000000001,0.75,20,1.0,4.0,0.5384615384615384,Greed
2023-12-30,354.998648,10.757534787878788,7.4475,0.696969696969697,33,1.0,4.0,0.375,Greed
2024-01-01,-129.53146,-21.58857666666667,-75.76867200000001,0.16666666666666666,6,1.0,4.0,0.2,Greed
2024-01-02,783.979116,87.10879066666666,35.112325,0.8888888888888888,9,1.0,4.0,,Greed
2024-01-03,866.015507,24.7433002,0.170945,0.8,35,1.0,4.0,0.0,Greed
2024-01-04,-67.60364,-22.534546666666667,-1.16174,0.0,3,1.0,4.0,0.0,Greed
2024-01-05,164.141565,7.136589782608696,1.27578,0.5652173913043478,23,1.0,4.0,0.35294117647058826,Greed
2024-01-06,135.58166400000002,11.298472000000002,2.95032,0.8333333333333334,12,1.0,4.0,0.2,Greed
