metric,spearman_rho,p_value
closedPnL,0.026230321416263053,2.3164288919096404e-17
trade_return_pct,0.13671066995159645,0.0
is_profitable,0.020943498667331095,1.3077561883289664e-11
position_size_usd,-0.1229068125497875,0.0
