sentiment_label,mean_pnl,median_pnl,win_rate,trade_count,avg_leverage,avg_position_size_usd,long_ratio,short_ratio
Extreme Fear,71.02731582644628,6.38805,0.7621564482029598,10406,1.0,5467.570306102356,0.3001153180857198,0.6998846819142802
Fear,112.62598770940687,6.3504830000000005,0.8728864734299517,29808,1.0,8041.140469112766,0.3096484165324745,0.6903515834675255
Neutral,71.19999314664905,4.583458,0.8238889806707418,18159,1.0,5556.444820076293,0.3227600638801696,0.6772399361198304
Greed,85.40392727005879,4.9276,0.7689068954559898,25176,1.0,5438.671782034051,0.4505481410867493,0.5494518589132508
Extreme Greed,130.20530910051312,8.53074,0.8916702632714717,20853,1.0,2779.563591044221,0.31170574977221505,0.688294250227785
